month,deployed_tech_count,deployed_tech_ids,climate_restoration_effect,ocean_restoration_effect,agriculture_effect,pollution_cleanup_effect,baseline_mortality,transition_mortality,total_mortality,population,temperature_delta,co2_concentration,ocean_acidification,biodiversity_loss,nitrogen_boundary,phosphorus_boundary,active_crises,crisis_types,government_effectiveness,social_cohesion
0,11,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
1,16,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
2,16,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
3,16,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
4,20,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
5,20,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
6,20,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
7,22,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
8,22,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
9,22,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
